0;0;0;0;x;x
1;42;48;8;BERE;x
2;1;111;35;ALLIHIES;x
3;168;162;27;CASTLETOWNBERE;x
4;1;96;160;ADRIGOLE;x
5;0;135;150;BALLYLICKEY;x
6;84;141;151;BANTRY;x
7;42;138;23;KEALKILL;x
8;0;150;25;AHAKISTA;x
9;168;132;22;BALLYDEHOB;x
10;42;153;153;SCHULL;x
11;168;147;152;GOLEEN;x
12;84;111;146;BALTIMORE;x
13;168;117;147;SKIBEREEN;x
14;126;114;19;LEAP;x
15;126;129;149;DRIMOLEAGUE;x
16;0;120;20;GLANORE;x
17;168;87;142;ROSSCARBERY;x
18;42;123;148;DRINAGH;x
19;126;144;24;DUNMANWAY;x
20;168;102;17;ENNISKEAN;x
21;0;90;15;BALLINASCARTY;x
22;84;81;141;CLONAKILTY;x
23;84;126;21;KILBRITTAIN;x
24;42;93;143;BALLINSPITTLE;x
25;126;99;144;BANDON;x
26;0;60;10;CASTLEFREKE;x
27;126;69;139;BUTLERSTOWN;x
28;42;63;138;LISPATRICK;x
29;42;78;13;KINSALE;x
30;84;66;11;SNUGMORE;x
31;42;108;18;INISHANNON;x
32;84;96;16;DUNDERROW;x
33;168;57;137;BELGOOLY;x
34;126;84;14;TRACTON;x
35;0;75;140;FARRANALOUGH;x
36;168;72;12;KILPATRICK;x
37;126;54;9;BALLINGEARY;x
38;168;42;7;MACROOM;x
39;84;51;136;BALLYNAGREE;x
40;0;45;135;MILLSTREET;x
41;84;36;6;COACHFORD;x
42;42;33;133;DRIPSEY;x
43;126;39;134;RYLANE;x
44;168;27;132;BERRINGS;x
45;1;171;45;BALLINHASSIG;x
46;169;168;172;CARRIGALINE;x
47;1;201;50;PASSAGE;x
48;43;204;178;DOUGLAS;x
49;0;105;145;BALLINCOLLIG;x
50;85;207;51;CORK;x
51;43;174;173;ROCKGROVE;x
52;43;21;183;KNOCKNAHORGAN;x
53;1;18;55;WHITECHURCH;x
54;169;120;72;CARRIGNAVAR;x
55;169;15;182;BANTEER;x
56;127;210;179;KANTURCK;x
57;43;6;53;DROMAHANE;x
58;169;0;52;ARDNAGEEHA;x
59;1;3;180;KILBRIN;x
60;85;9;181;AGHADA;x
61;127;12;54;BALLYCOTTON;x
62;1;123;200;CASTLEMARTYR;x
63;127;117;199;BALLYMACODA;x
64;1;93;195;KILLEAGH;x
65;85;192;176;YOUGHAL;x
66;169;90;67;COBH;x
67;43;189;48;CARRIGTOHILL;x
68;43;96;68;WATERGRASSHILL;x
